2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第134期-2025年度-20250626_074912_873227.json20250626_103738_211681.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第135期-2025年度-20250626_074912_604228.json20250626_103738_213603.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第136期-2025年度-20250626_074912_306695.json20250626_103738_216418.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第137期-2025年度-20250626_074912_000786.json20250626_103738_218536.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第138期-2025年度-20250626_074911_722102.json20250626_103738_220535.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第139期-2025年度-20250626_074911_423337.json20250626_103738_222567.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第13期-2022年度-20250626_074830_239691.json20250626_103738_224624.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第140期-2025年度-20250626_074911_128300.json20250626_103738_226554.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第141期-2025年度-20250626_074910_816352.json20250626_103738_228489.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第142期-2025年度-20250626_074910_509063.json20250626_103738_230746.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第143期-2025年度-20250626_074910_212230.json20250626_103738_232845.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第144期-2025年度-20250626_074909_933605.json20250626_103738_234767.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第145期-2025年度-20250626_074909_649367.json20250626_103738_236635.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第146期-2025年度-20250626_074909_359773.json20250626_103738_238677.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第147期-2025年度-20250626_074909_087505.json20250626_103738_240718.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第148期-2025年度-20250626_074908_793735.json20250626_103738_242583.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第149期-2025年度-20250626_074908_470621.json20250626_103738_244433.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第14期-2022年度-20250626_074829_937241.json20250626_103738_246838.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第150期-2025年度-20250626_074908_188357.json20250626_103738_248819.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第151期-2025年度-20250626_074907_895416.json20250626_103738_250778.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第152期-2025年度-20250626_074907_613264.json20250626_103738_252737.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第153期-2025年度-20250626_074907_326372.json20250626_103738_254641.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第154期-2025年度-20250626_074907_036485.json20250626_103738_256566.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第155期-2025年度-20250626_074906_760188.json20250626_103738_258505.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第156期-2025年度-20250626_074906_298045.json20250626_103738_260371.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第157期-2025年度-20250626_074905_985647.json20250626_103738_262295.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第158期-2025年度-20250626_074905_682034.json20250626_103738_266074.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第15期-2022年度-20250626_074829_651165.json20250626_103738_268232.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第16期-2022年度-20250626_074829_333999.json20250626_103738_270236.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第17期-2022年度-20250626_074829_021991.json20250626_103738_272265.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第18期-2022年度-20250626_074828_740579.json20250626_103738_274234.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第19期-2022年度-20250626_074828_428426.json20250626_103738_276120.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第1期-2022年度-20250626_074833_856859.json20250626_103738_278105.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第20期-2022年度-20250626_074828_130977.json20250626_103738_280234.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第21期-2022年度-20250626_074827_814815.json20250626_103738_282123.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第22期-2022年度-20250626_074827_523398.json20250626_103738_284056.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第23期-2022年度-20250626_074827_240830.json20250626_103738_285968.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第24期-2022年度-20250626_074826_947843.json20250626_103738_287873.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第25期-2022年度-20250626_074826_645096.json20250626_103738_289772.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第26期-2022年度-20250626_074826_312233.json20250626_103738_291702.json
2025-06-26 10:37:38 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第27期-2022年度-20250626_074826_029873.json20250626_103738_293861.json
