2025-06-29 14:49:54 | INFO | write_file_to_raw | 当前存储的文件为：C:\Users\29145\Desktop\WorkSpace\6.25大数据采集与分析课设\bilibili-crawler\src\data\raw\音频榜单单期信息-热榜-第19期-2022年度-20250629_144954_086791.json
2025-06-29 14:49:54 | INFO | write_file_to_raw | 当前存储的文件为：C:\Users\29145\Desktop\WorkSpace\6.25大数据采集与分析课设\bilibili-crawler\src\data\raw\音频榜单单期信息-热榜-第18期-2022年度-20250629_144954_376310.json
2025-06-29 14:49:54 | INFO | write_file_to_raw | 当前存储的文件为：C:\Users\29145\Desktop\WorkSpace\6.25大数据采集与分析课设\bilibili-crawler\src\data\raw\音频榜单单期信息-热榜-第17期-2022年度-20250629_144954_678194.json
2025-06-29 14:49:54 | INFO | write_file_to_raw | 当前存储的文件为：C:\Users\29145\Desktop\WorkSpace\6.25大数据采集与分析课设\bilibili-crawler\src\data\raw\音频榜单单期信息-热榜-第16期-2022年度-20250629_144954_975620.json
2025-06-29 14:49:55 | INFO | write_file_to_raw | 当前存储的文件为：C:\Users\29145\Desktop\WorkSpace\6.25大数据采集与分析课设\bilibili-crawler\src\data\raw\音频榜单单期信息-热榜-第15期-2022年度-20250629_144955_279114.json
2025-06-29 14:49:55 | INFO | write_file_to_raw | 当前存储的文件为：C:\Users\29145\Desktop\WorkSpace\6.25大数据采集与分析课设\bilibili-crawler\src\data\raw\音频榜单单期信息-热榜-第14期-2022年度-20250629_144955_594331.json
2025-06-29 14:49:55 | INFO | write_file_to_raw | 当前存储的文件为：C:\Users\29145\Desktop\WorkSpace\6.25大数据采集与分析课设\bilibili-crawler\src\data\raw\音频榜单单期信息-热榜-第13期-2022年度-20250629_144955_947557.json
2025-06-29 14:49:56 | INFO | write_file_to_raw | 当前存储的文件为：C:\Users\29145\Desktop\WorkSpace\6.25大数据采集与分析课设\bilibili-crawler\src\data\raw\音频榜单单期信息-热榜-第12期-2022年度-20250629_144956_264322.json
2025-06-29 14:49:56 | INFO | write_file_to_raw | 当前存储的文件为：C:\Users\29145\Desktop\WorkSpace\6.25大数据采集与分析课设\bilibili-crawler\src\data\raw\音频榜单单期信息-热榜-第11期-2022年度-20250629_144956_564816.json
2025-06-29 14:49:56 | INFO | write_file_to_raw | 当前存储的文件为：C:\Users\29145\Desktop\WorkSpace\6.25大数据采集与分析课设\bilibili-crawler\src\data\raw\音频榜单单期信息-热榜-第10期-2022年度-20250629_144956_856970.json
2025-06-29 14:49:57 | INFO | write_file_to_raw | 当前存储的文件为：C:\Users\29145\Desktop\WorkSpace\6.25大数据采集与分析课设\bilibili-crawler\src\data\raw\音频榜单单期信息-热榜-第9期-2022年度-20250629_144957_155040.json
2025-06-29 14:49:57 | INFO | write_file_to_raw | 当前存储的文件为：C:\Users\29145\Desktop\WorkSpace\6.25大数据采集与分析课设\bilibili-crawler\src\data\raw\音频榜单单期信息-热榜-第8期-2022年度-20250629_144957_437441.json
2025-06-29 14:49:57 | INFO | write_file_to_raw | 当前存储的文件为：C:\Users\29145\Desktop\WorkSpace\6.25大数据采集与分析课设\bilibili-crawler\src\data\raw\音频榜单单期信息-热榜-第7期-2022年度-20250629_144957_767916.json
2025-06-29 14:49:58 | INFO | write_file_to_raw | 当前存储的文件为：C:\Users\29145\Desktop\WorkSpace\6.25大数据采集与分析课设\bilibili-crawler\src\data\raw\音频榜单单期信息-热榜-第6期-2022年度-20250629_144958_069823.json
2025-06-29 14:49:58 | INFO | write_file_to_raw | 当前存储的文件为：C:\Users\29145\Desktop\WorkSpace\6.25大数据采集与分析课设\bilibili-crawler\src\data\raw\音频榜单单期信息-热榜-第5期-2022年度-20250629_144958_368929.json
2025-06-29 14:49:58 | INFO | write_file_to_raw | 当前存储的文件为：C:\Users\29145\Desktop\WorkSpace\6.25大数据采集与分析课设\bilibili-crawler\src\data\raw\音频榜单单期信息-热榜-第4期-2022年度-20250629_144958_658418.json
2025-06-29 14:49:58 | INFO | write_file_to_raw | 当前存储的文件为：C:\Users\29145\Desktop\WorkSpace\6.25大数据采集与分析课设\bilibili-crawler\src\data\raw\音频榜单单期信息-热榜-第3期-2022年度-20250629_144958_952668.json
2025-06-29 14:49:59 | INFO | write_file_to_raw | 当前存储的文件为：C:\Users\29145\Desktop\WorkSpace\6.25大数据采集与分析课设\bilibili-crawler\src\data\raw\音频榜单单期信息-热榜-第2期-2022年度-20250629_144959_319194.json
2025-06-29 14:49:59 | INFO | write_file_to_raw | 当前存储的文件为：C:\Users\29145\Desktop\WorkSpace\6.25大数据采集与分析课设\bilibili-crawler\src\data\raw\音频榜单单期信息-热榜-第1期-2022年度-20250629_144959_611168.json
2025-06-29 14:49:59 | INFO | MusicRankCrawler | 年度:2023
2025-06-29 14:49:59 | INFO | write_file_to_raw | 当前存储的文件为：C:\Users\29145\Desktop\WorkSpace\6.25大数据采集与分析课设\bilibili-crawler\src\data\raw\音频榜单单期信息-热榜-第81期-2023年度-20250629_144959_917378.json
2025-06-29 14:50:00 | INFO | write_file_to_raw | 当前存储的文件为：C:\Users\29145\Desktop\WorkSpace\6.25大数据采集与分析课设\bilibili-crawler\src\data\raw\音频榜单单期信息-热榜-第80期-2023年度-20250629_145000_266823.json
2025-06-29 14:50:00 | INFO | write_file_to_raw | 当前存储的文件为：C:\Users\29145\Desktop\WorkSpace\6.25大数据采集与分析课设\bilibili-crawler\src\data\raw\音频榜单单期信息-热榜-第79期-2023年度-20250629_145000_549123.json
2025-06-29 14:50:00 | INFO | write_file_to_raw | 当前存储的文件为：C:\Users\29145\Desktop\WorkSpace\6.25大数据采集与分析课设\bilibili-crawler\src\data\raw\音频榜单单期信息-热榜-第78期-2023年度-20250629_145000_860480.json
2025-06-29 14:50:01 | INFO | write_file_to_raw | 当前存储的文件为：C:\Users\29145\Desktop\WorkSpace\6.25大数据采集与分析课设\bilibili-crawler\src\data\raw\音频榜单单期信息-热榜-第77期-2023年度-20250629_145001_149635.json
